"gene_symbol","gene_biotype","seqnames","start","end","strand","domain_start","domain_end","domain_width","promoter_h3k4me3","domain_h3k4me3","promoter_h3k27ac","domain_h3k27ac","promoter_ctcf","domain_ctcf","distal_h3k27ac","regulatory_class"
"LY6G5B","protein_coding","NC_058372.1",30500043,30502488,"+",30495386,30500420,5035,0,1,0,1,1,2,1,"distal_enhancer_only"
"LY6G5C","protein_coding","NC_058372.1",30504839,30509637,"-",30500420,30512083,11664,1,1,1,1,0,2,0,"active_promoter"
"LOC109499617","lncRNA","NC_058372.1",30509685,30516051,"+",30500420,30512083,11664,1,1,1,1,0,2,0,"active_promoter"
"ABHD16A","protein_coding","NC_058372.1",30513747,30527967,"-",30527905,30530180,2276,1,1,1,1,1,2,0,"active_promoter"
"LY6G6F","protein_coding","NC_058372.1",30529646,30533337,"+",30527905,30530180,2276,1,1,1,1,2,2,0,"active_promoter"
"LOC102901967","protein_coding","NC_058372.1",30534407,30536100,"-",30535044,30550964,15921,0,1,0,1,0,2,1,"distal_enhancer_only"
"LY6G6D","protein_coding","NC_058372.1",30537503,30539700,"+",30535044,30550964,15921,0,1,0,1,0,2,1,"distal_enhancer_only"
"LY6G6C","protein_coding","NC_058372.1",30540466,30543562,"-",30535044,30550964,15921,0,1,0,1,0,2,1,"distal_enhancer_only"
"MPIG6B","protein_coding","NC_058372.1",30544732,30548028,"+",30535044,30550964,15921,0,1,0,1,0,2,1,"distal_enhancer_only"
"DDAH2","protein_coding","NC_058372.1",30548349,30551767,"-",30550964,30558742,7779,1,2,1,3,1,2,2,"active_promoter"
"CLIC1","protein_coding","NC_058372.1",30551923,30557147,"-",30550964,30558742,7779,1,2,2,3,1,2,1,"active_promoter"
"MSH5","protein_coding","NC_058372.1",30559877,30584829,"+",30558742,30560439,1698,1,1,2,1,2,2,0,"active_promoter"
"SAPCD1","protein_coding","NC_058372.1",30584960,30586911,"+",30560439,30587894,27456,0,2,0,2,0,2,2,"distal_enhancer_only"
"VWA7","protein_coding","NC_058372.1",30586401,30596499,"-",30594654,30608555,13902,0,0,0,0,0,2,0,"no_active_mark"
"VARS1","protein_coding","NC_058372.1",30596586,30612198,"-",30611517,30612322,806,1,1,1,1,2,2,0,"active_promoter"
"LSM2","protein_coding","NC_058372.1",30612976,30619899,"-",30619324,30625022,5699,1,2,1,3,1,2,2,"active_promoter"
"LOC101091022","protein_coding","NC_058372.1",30620708,30624558,"-",30619324,30625022,5699,1,2,2,3,1,2,1,"active_promoter"
"LOC105260573","protein_coding","NC_058372.1",30624861,30638118,"+",30619324,30625022,5699,1,2,2,3,1,2,1,"active_promoter"
"LOC102899052","lncRNA","NC_058372.1",30644261,30646370,"+",30638056,30644374,6319,1,3,1,4,1,2,3,"active_promoter"
"LOC111560696","snoRNA","NC_058372.1",30644703,30644765,"+",30644374,30652714,8341,1,1,1,3,1,2,2,"active_promoter"
"LOC111560693","snoRNA","NC_058372.1",30645602,30645670,"+",30644374,30652714,8341,1,1,2,3,1,2,1,"active_promoter"
"NEU1","protein_coding","NC_058372.1",30667287,30671068,"-",30652714,30672448,19735,1,1,3,4,1,2,1,"active_promoter"
"SLC44A4","protein_coding","NC_058372.1",30671426,30683738,"-",30682284,30683835,1552,1,1,1,1,1,2,0,"active_promoter"
"EHMT2","protein_coding","NC_058372.1",30684133,30697516,"-",30691974,30697560,5587,1,1,1,1,1,2,0,"active_promoter"
"ZBTB12","protein_coding","NC_058372.1",30698417,30701755,"-",30697560,30701965,4406,1,2,1,2,1,2,1,"active_promoter"
"C2","protein_coding","NC_058372.1",30701806,30745183,"+",30697560,30701965,4406,1,2,1,2,1,2,1,"active_promoter"
"LOC123385335","lncRNA","NC_058372.1",30744774,30747432,"-",30716596,30752495,35900,0,0,0,1,0,2,1,"distal_enhancer_only"
"CFB","protein_coding","NC_058372.1",30745602,30751923,"+",30716596,30752495,35900,0,0,0,1,0,2,1,"distal_enhancer_only"
"NELFE","protein_coding","NC_058372.1",30751926,30757928,"-",30755756,30798764,43009,1,3,1,3,0,2,2,"active_promoter"
"SKIV2L","protein_coding","NC_058372.1",30757977,30769326,"+",30755756,30798764,43009,1,3,1,3,0,2,2,"active_promoter"
"DXO","protein_coding","NC_058372.1",30769384,30771639,"-",30755756,30798764,43009,1,3,1,3,0,2,2,"active_promoter"
"STK19","protein_coding","NC_058372.1",30771846,30777735,"+",30755756,30798764,43009,1,3,1,3,0,2,2,"active_promoter"
"LOC101094346","protein_coding","NC_058372.1",30778276,30793233,"+",30755756,30798764,43009,1,3,1,3,0,2,2,"active_promoter"
"CYP21A2","protein_coding","NC_058372.1",30795969,30799149,"+",30755756,30798764,43009,0,3,0,3,0,2,3,"distal_enhancer_only"
"TNXB","protein_coding","NC_058372.1",30798639,30856173,"-",30845064,30865027,19964,1,2,1,4,0,2,3,"active_promoter"
"ATF6B","protein_coding","NC_058372.1",30861631,30870897,"-",30865027,30887256,22230,1,2,2,3,0,2,1,"active_promoter"
"FKBPL","protein_coding","NC_058372.1",30871356,30872965,"-",30865027,30887256,22230,1,2,1,3,0,2,2,"active_promoter"
"PRRT1","protein_coding","NC_058372.1",30886623,30890260,"-",30887256,30910184,22929,1,3,1,3,0,2,2,"active_promoter"
"PPT2","protein_coding","NC_058372.1",30891015,30899053,"+",30887256,30910184,22929,1,3,1,3,0,2,2,"active_promoter"
"LOC105260570","lncRNA","NC_058372.1",30891390,30892647,"-",30887256,30910184,22929,1,3,1,3,0,2,2,"active_promoter"
"EGFL8","protein_coding","NC_058372.1",30898014,30902756,"+",30887256,30910184,22929,0,3,1,3,0,2,2,"distal_enhancer_only"
"AGPAT1","protein_coding","NC_058372.1",30902676,30911732,"-",30911125,30921920,10796,2,3,3,7,1,2,4,"active_promoter"
"RNF5","protein_coding","NC_058372.1",30912409,30914837,"+",30911125,30921920,10796,2,3,2,7,1,2,5,"active_promoter"
"AGER","protein_coding","NC_058372.1",30915022,30918540,"-",30911125,30921920,10796,0,3,4,7,0,2,3,"distal_enhancer_only"
"PBX2","protein_coding","NC_058372.1",30919593,30923647,"-",30921920,30925640,3721,2,2,1,1,1,2,0,"active_promoter"
"GPSM3","protein_coding","NC_058372.1",30924550,30928484,"-",30925640,30928979,3340,1,2,1,2,1,2,1,"active_promoter"
"NOTCH4","protein_coding","NC_058372.1",30927937,30950484,"-",30928979,30963502,34524,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC111558977","lncRNA","NC_058372.1",30929144,30954391,"+",30928979,30963502,34524,1,1,1,1,1,2,0,"active_promoter"
"LOC102899189","protein_coding","NC_058372.1",30966543,30983477,"+",30963502,31009089,45588,0,0,0,0,0,2,0,"no_active_mark"
"LOC111560583","lncRNA","NC_058372.1",30990552,30998807,"+",30963502,31009089,45588,0,0,0,0,0,2,0,"no_active_mark"
"TSBP1","protein_coding","NC_058372.1",31028345,31248362,"-",31219402,31283491,64090,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC109499620","lncRNA","NC_058372.1",31129822,31278387,"+",31129720,31219402,89683,1,1,2,2,2,2,0,"active_promoter"
"LOC111560640","snRNA","NC_058372.1",31217858,31217966,"+",31129720,31219402,89683,0,1,0,2,0,2,2,"distal_enhancer_only"
"LOC123385336","protein_coding","NC_058372.1",31295651,31305891,"-",31283491,31430019,146529,0,1,0,0,0,2,0,"no_active_mark"
"LOC101081137","protein_coding","NC_058372.1",31377487,31384846,"-",31283491,31430019,146529,0,1,0,0,0,2,0,"no_active_mark"
"LOC101081382","protein_coding","NC_058372.1",31390824,31403499,"+",31283491,31430019,146529,0,1,0,0,0,2,0,"no_active_mark"
"BTNL2","protein_coding","NC_058372.1",31410840,31428157,"-",31283491,31430019,146529,0,1,0,0,1,2,0,"no_active_mark"
"LOC100169654","protein_coding","NC_058372.1",31443993,31448751,"+",31432362,31631038,198677,0,0,0,0,0,2,0,"no_active_mark"
"LOC101088996","protein_coding","NC_058372.1",31477861,31481385,"+",31432362,31631038,198677,0,0,0,0,0,2,0,"no_active_mark"
"LOC111558969","protein_coding","NC_058372.1",31501245,31511523,"-",31432362,31631038,198677,0,0,0,0,0,2,0,"no_active_mark"
"LOC101088734","protein_coding","NC_058372.1",31552204,31556077,"+",31432362,31631038,198677,0,0,0,0,0,2,0,"no_active_mark"
"LOC101098301","protein_coding","NC_058372.1",31577129,31587085,"-",31432362,31631038,198677,0,0,0,0,0,2,0,"no_active_mark"
"LOC111560650","snRNA","NC_058372.1",31622260,31622366,"+",31432362,31631038,198677,0,0,0,0,0,2,0,"no_active_mark"
"LOC111556169","protein_coding","NC_058372.1",31662239,31675115,"+",31631038,31705903,74866,0,0,0,0,0,2,0,"no_active_mark"
"LOC123385338","lncRNA","NC_058372.1",31662421,31667612,"+",31631038,31705903,74866,0,0,0,0,0,2,0,"no_active_mark"
"LOC111560441","protein_coding","NC_058372.1",31712841,31722688,"-",31705903,31746451,40549,0,1,0,1,0,2,1,"distal_enhancer_only"
"TAP2","protein_coding","NC_058372.1",31736474,31747438,"-",31747312,31752101,4790,1,2,1,2,1,2,1,"active_promoter"
"PSMB8","protein_coding","NC_058372.1",31748964,31752890,"-",31752101,31753076,976,1,1,1,1,1,2,0,"active_promoter"
"TAP1","protein_coding","NC_058372.1",31753358,31761342,"-",31753076,31761668,8593,1,2,1,2,1,2,1,"active_promoter"
"PSMB9","protein_coding","NC_058372.1",31761646,31766890,"+",31753076,31761668,8593,1,2,1,2,1,2,1,"active_promoter"
"LOC111556173","protein_coding","NC_058372.1",31835308,31841121,"-",31834482,31842712,8231,2,2,2,3,1,2,1,"active_promoter"
"LOC111560443","protein_coding","NC_058372.1",31850357,31854216,"-",31842712,31854503,11792,1,2,1,3,1,2,2,"active_promoter"
"BRD2","protein_coding","NC_058372.1",31870621,31878525,"+",31870194,31882662,12469,2,1,2,2,3,2,0,"active_promoter"
"LOC101090518","protein_coding","NC_058372.1",31898488,31903233,"-",31882662,31909673,27012,1,1,1,1,0,2,0,"active_promoter"
"LOC101084962","misc_RNA","NC_058372.1",31913501,31924892,"+",31909673,31913722,4050,1,1,1,1,1,2,0,"active_promoter"
"LOC111560709","guide_RNA","NC_058372.1",31917111,31917241,"+",31913722,31955473,41752,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC111556176","protein_coding","NC_058372.1",31925176,31951272,"+",31913722,31955473,41752,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC101090771","protein_coding","NC_058372.1",31931469,31960516,"-",31955473,31967247,11775,1,2,0,2,0,2,2,"primed_promoter"
"COL11A2","protein_coding","NC_058372.1",31968883,31998201,"-",31967247,31998607,31361,2,3,2,4,1,2,2,"active_promoter"
"RXRB","protein_coding","NC_058372.1",31998905,32005675,"-",32005625,32009681,4057,1,2,1,2,1,2,1,"active_promoter"
"SLC39A7","protein_coding","NC_058372.1",32005542,32009669,"+",32003188,32005625,2438,2,2,1,1,1,2,0,"active_promoter"
"HSD17B8","protein_coding","NC_058372.1",32009753,32012106,"+",32009681,32010667,987,1,1,1,1,1,2,0,"active_promoter"
"RING1","protein_coding","NC_058372.1",32013801,32017770,"+",32013765,32018377,4613,1,2,1,2,1,2,1,"active_promoter"
"VPS52","protein_coding","NC_058372.1",32042560,32058576,"-",32041530,32058914,17385,1,2,1,3,1,2,2,"active_promoter"
"RPS18","protein_coding","NC_058372.1",32058345,32063863,"+",32041530,32058914,17385,1,2,1,3,1,2,2,"active_promoter"
"B3GALT4","protein_coding","NC_058372.1",32064013,32066247,"+",32058914,32064460,5547,1,2,1,2,1,2,1,"active_promoter"
"WDR46","protein_coding","NC_058372.1",32066514,32074484,"-",32064460,32083923,19464,1,3,1,3,0,2,2,"active_promoter"
"PFDN6","protein_coding","NC_058372.1",32074558,32076389,"+",32064460,32083923,19464,1,3,1,3,0,2,2,"active_promoter"
"RGL2","protein_coding","NC_058372.1",32077052,32084585,"-",32083923,32085203,1281,1,1,1,1,2,2,0,"active_promoter"
"LOC101091023","protein_coding","NC_058372.1",32085296,32097577,"-",32096767,32098502,1736,2,2,1,1,1,2,0,"active_promoter"
"ZBTB22","protein_coding","NC_058372.1",32097786,32101491,"-",32101389,32106520,5132,1,2,1,3,1,2,2,"active_promoter"
"DAXX","protein_coding","NC_058372.1",32101826,32106353,"-",32101389,32106520,5132,1,2,1,3,1,2,2,"active_promoter"
"SMIM40","protein_coding","NC_058372.1",32107058,32112929,"-",32106520,32143238,36719,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC111560454","protein_coding","NC_058372.1",32136398,32167287,"-",32165564,32178740,13177,1,1,0,1,0,2,1,"primed_promoter"
"KIFC1","protein_coding","NC_058372.1",32165853,32181166,"+",32165564,32178740,13177,1,1,1,1,1,2,0,"active_promoter"
"PHF1","protein_coding","NC_058372.1",32182269,32187456,"+",32181611,32182428,818,1,1,2,1,2,2,0,"active_promoter"
"CUTA","protein_coding","NC_058372.1",32187563,32189232,"-",32188947,32189528,582,1,1,1,1,2,2,0,"active_promoter"
"SYNGAP1","protein_coding","NC_058372.1",32189347,32223358,"+",32188947,32189528,582,1,1,1,1,2,2,0,"active_promoter"
"ZBTB9","protein_coding","NC_058372.1",32223719,32227173,"+",32212919,32224063,11145,1,1,1,1,1,2,0,"active_promoter"
"LOC102899796","lncRNA","NC_058372.1",32239396,32290146,"-",32289977,32313161,23185,1,2,1,2,1,2,1,"active_promoter"
"LOC123385342","lncRNA","NC_058372.1",32290222,32291907,"+",32289977,32313161,23185,1,2,2,2,1,2,0,"active_promoter"
"BAK1","protein_coding","NC_058372.1",32314337,32320918,"-",32313161,32320978,7818,1,2,1,4,1,2,3,"active_promoter"
"LOC101087741","protein_coding","NC_058372.1",32322228,32328003,"+",32320978,32323384,2407,1,1,1,1,1,2,0,"active_promoter"
"ITPR3","protein_coding","NC_058372.1",32347266,32414985,"+",32346944,32347632,689,1,1,2,1,2,2,0,"active_promoter"
"LOC111560455","lncRNA","NC_058372.1",32361346,32364915,"-",32358485,32379810,21326,0,2,0,2,0,2,2,"distal_enhancer_only"
"UQCC2","protein_coding","NC_058372.1",32415945,32430007,"-",32429994,32435358,5365,1,1,1,2,1,2,1,"active_promoter"
"LOC109499628","lncRNA","NC_058372.1",32429592,32446615,"+",32420635,32429994,9360,1,1,2,2,1,2,0,"active_promoter"
"IP6K3","protein_coding","NC_058372.1",32438568,32450459,"-",32435358,32457573,22216,0,0,0,4,0,2,4,"distal_enhancer_only"
"LEMD2","protein_coding","NC_058372.1",32479529,32497138,"-",32496972,32501442,4471,1,1,1,1,1,2,0,"active_promoter"
"MLN","protein_coding","NC_058372.1",32501434,32518665,"-",32503837,32519775,15939,0,0,0,0,1,2,0,"no_active_mark"
"LOC123385343","lncRNA","NC_058372.1",32548300,32561116,"-",32556671,32569848,13178,0,1,0,4,0,2,4,"distal_enhancer_only"
"LOC123385344","lncRNA","NC_058372.1",32575465,32591159,"-",32590908,32591476,569,1,1,1,1,2,2,0,"active_promoter"
"LOC109499629","lncRNA","NC_058372.1",32600146,32623682,"+",32591476,32649078,57603,0,3,0,6,0,2,6,"distal_enhancer_only"
"LOC109499630","lncRNA","NC_058372.1",32622588,32640268,"-",32591476,32649078,57603,1,3,1,6,0,2,5,"active_promoter"
"LOC123385345","lncRNA","NC_058372.1",32647507,32658395,"+",32591476,32649078,57603,0,3,2,6,0,2,4,"distal_enhancer_only"
"LOC109500150","lncRNA","NC_058372.1",32676151,32678506,"+",32649078,32676849,27772,0,1,0,2,0,2,2,"distal_enhancer_only"
"GRM4","protein_coding","NC_058372.1",32681753,32834677,"-",32834258,32834826,569,1,1,0,0,2,2,0,"primed_promoter"
"LOC109499632","lncRNA","NC_058372.1",32788513,32791598,"+",32758734,32833067,74334,0,1,0,0,0,2,0,"no_active_mark"
"LOC109499631","lncRNA","NC_058372.1",32845666,32881424,"-",32867823,32895910,28088,0,2,0,2,0,2,2,"distal_enhancer_only"
"LOC111560456","lncRNA","NC_058372.1",32866711,32870266,"+",32851157,32867823,16667,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC109499633","lncRNA","NC_058372.1",32897067,32898887,"-",32898506,32906031,7526,0,1,0,1,1,2,1,"distal_enhancer_only"
"HMGA1","protein_coding","NC_058372.1",32906206,32915389,"+",32906031,32906819,789,1,1,1,1,2,2,0,"active_promoter"
"SMIM29","protein_coding","NC_058372.1",32915578,32918248,"-",32915966,32918476,2511,1,1,1,1,1,2,0,"active_promoter"
"RPS10","protein_coding","NC_058372.1",33100792,33107682,"-",33107608,33114183,6576,1,1,1,1,1,2,0,"active_promoter"
"PACSIN1","protein_coding","NC_058372.1",33133167,33189350,"+",33128650,33171586,42937,1,1,1,1,0,2,0,"active_promoter"
"SPDEF","protein_coding","NC_058372.1",33192349,33210706,"-",33208271,33233788,25518,0,0,0,0,0,2,0,"no_active_mark"
"ILRUN","protein_coding","NC_058372.1",33238628,33334192,"-",33333803,33377537,43735,1,3,1,3,1,2,2,"active_promoter"
"LOC111560641","snRNA","NC_058372.1",33263200,33263302,"+",33259930,33299233,39304,0,1,0,1,0,2,1,"distal_enhancer_only"
"SNRPC","protein_coding","NC_058372.1",33377361,33388552,"+",33333803,33377537,43735,1,3,1,3,1,2,2,"active_promoter"
"UHRF1BP1","protein_coding","NC_058372.1",33404804,33478186,"+",33377537,33404931,27395,1,2,1,2,1,2,1,"active_promoter"
"LOC111560687","snoRNA","NC_058372.1",33443588,33443720,"-",33404931,33469623,64693,0,1,0,1,0,2,1,"distal_enhancer_only"
"TAF11","protein_coding","NC_058372.1",33478408,33486659,"-",33485511,33568776,83266,1,1,1,15,0,2,14,"active_promoter"
"ANKS1A","protein_coding","NC_058372.1",33486781,33666122,"+",33485511,33568776,83266,1,1,1,15,1,2,14,"active_promoter"
"LOC109499636","lncRNA","NC_058372.1",33548680,33579468,"-",33578613,33591148,12536,0,0,0,2,0,2,2,"distal_enhancer_only"
"TCP11","protein_coding","NC_058372.1",33678969,33700200,"-",33659343,33704138,44796,1,2,1,3,0,2,2,"active_promoter"
"LOC109499638","lncRNA","NC_058372.1",33714613,33716859,"-",33704753,33766113,61361,0,1,0,4,0,2,4,"distal_enhancer_only"
"LOC123385346","lncRNA","NC_058372.1",33744256,33819908,"-",33802749,33819996,17248,1,1,1,1,1,2,0,"active_promoter"
"SCUBE3","protein_coding","NC_058372.1",33775574,33813581,"+",33766113,33802749,36637,1,1,1,2,0,2,1,"active_promoter"
"ZNF76","protein_coding","NC_058372.1",33820010,33852946,"+",33819996,33849761,29766,1,1,1,1,1,2,0,"active_promoter"
"DEF6","protein_coding","NC_058372.1",33854057,33873333,"+",33852629,33854581,1953,1,1,2,2,2,2,0,"active_promoter"
"PPARD","protein_coding","NC_058372.1",33881905,33966117,"+",33881796,33918250,36455,1,1,2,5,1,2,3,"active_promoter"
"LOC109499639","protein_coding","NC_058372.1",33974151,33985118,"+",33941620,33984169,42550,0,0,0,2,0,2,2,"distal_enhancer_only"
"LOC109499640","lncRNA","NC_058372.1",33975749,33986860,"-",33984169,33987521,3353,1,1,2,2,2,2,0,"active_promoter"
"FANCE","protein_coding","NC_058372.1",33987297,33999068,"+",33984169,33987521,3353,1,1,2,2,1,2,0,"active_promoter"
"RPL10A","protein_coding","NC_058372.1",33999996,34002987,"+",33989013,34000276,11264,1,1,1,1,1,2,0,"active_promoter"
"TEAD3","protein_coding","NC_058372.1",34003933,34030358,"-",34029503,34030769,1267,1,1,1,1,2,2,0,"active_promoter"
"TULP1","protein_coding","NC_058372.1",34030304,34043610,"-",34030769,34055425,24657,0,2,0,2,0,2,2,"distal_enhancer_only"
"LOC123385347","lncRNA","NC_058372.1",34095555,34125030,"+",34077091,34111647,34557,0,0,0,0,0,2,0,"no_active_mark"
"FKBP5","protein_coding","NC_058372.1",34125159,34241814,"-",34241329,34266221,24893,1,2,3,6,1,2,3,"active_promoter"
"LOC102901381","lncRNA","NC_058372.1",34260607,34271356,"-",34268229,34272129,3901,1,1,0,0,1,2,0,"primed_promoter"
"ARMC12","protein_coding","NC_058372.1",34274689,34286962,"+",34274300,34275466,1167,1,0,0,0,2,2,0,"primed_promoter"
"CLPSL2","protein_coding","NC_058372.1",34304949,34306989,"+",34275466,34314349,38884,0,1,0,2,0,2,2,"distal_enhancer_only"
"CLPSL1","protein_coding","NC_058372.1",34308571,34317958,"+",34275466,34314349,38884,0,1,0,2,0,2,2,"distal_enhancer_only"
"CLPS","protein_coding","NC_058372.1",34320497,34323272,"-",34315193,34382149,66957,0,0,0,0,0,2,0,"no_active_mark"
"LHFPL5","protein_coding","NC_058372.1",34324550,34350746,"+",34315193,34382149,66957,0,0,0,0,0,2,0,"no_active_mark"
"SRPK1","protein_coding","NC_058372.1",34354473,34436427,"-",34436360,34448854,12495,1,1,1,1,1,2,0,"active_promoter"
"LOC101091024","lncRNA","NC_058372.1",34435554,34443517,"+",34435147,34435701,555,1,1,1,1,3,2,0,"active_promoter"
"SLC26A8","protein_coding","NC_058372.1",34460604,34545030,"-",34542913,34545283,2371,1,2,2,3,2,2,1,"active_promoter"
"MAPK14","protein_coding","NC_058372.1",34545212,34620083,"+",34542913,34545283,2371,2,2,3,3,1,2,0,"active_promoter"
"LOC102901786","lncRNA","NC_058372.1",34625469,34627969,"-",34606746,34629618,22873,0,0,0,2,1,2,2,"distal_enhancer_only"
"MAPK13","protein_coding","NC_058372.1",34638703,34647308,"+",34633033,34638757,5725,1,1,2,2,1,2,0,"active_promoter"
"BRPF3","protein_coding","NC_058372.1",34703956,34738243,"+",34703710,34749345,45636,1,1,1,1,1,2,0,"active_promoter"
"PNPLA1","protein_coding","NC_058372.1",34773624,34823120,"+",34749345,34813394,64050,0,0,0,0,0,2,0,"no_active_mark"
"BNIP5","protein_coding","NC_058372.1",34826677,34838633,"-",34813394,34876261,62868,0,0,0,0,0,2,0,"no_active_mark"
"ETV7","protein_coding","NC_058372.1",34875923,34909922,"-",34898244,34936981,38738,1,2,1,2,0,2,1,"active_promoter"
"PXT1","protein_coding","NC_058372.1",34911444,34938788,"-",34936981,34939828,2848,0,1,0,1,1,2,1,"distal_enhancer_only"
"KCTD20","protein_coding","NC_058372.1",34959146,34997081,"+",34959119,35000103,40985,1,3,1,4,1,2,3,"active_promoter"
"STK38","protein_coding","NC_058372.1",35000565,35042297,"-",35042203,35052763,10561,1,2,1,2,1,2,1,"active_promoter"
"LOC123385349","lncRNA","NC_058372.1",35044305,35050326,"-",35042203,35052763,10561,1,2,1,2,0,2,1,"active_promoter"
"LOC123385350","lncRNA","NC_058372.1",35078096,35082610,"-",35052763,35082653,29891,1,2,1,6,1,2,5,"active_promoter"
"SRSF3","protein_coding","NC_058372.1",35082715,35090375,"+",35082653,35099082,16430,1,2,1,2,1,2,1,"active_promoter"
"LOC109499646","lncRNA","NC_058372.1",35099101,35101842,"-",35100263,35104661,4399,0,0,0,1,0,2,1,"distal_enhancer_only"
"LOC123385693","lncRNA","NC_058372.1",35127536,35136879,"-",35109289,35154964,45676,1,3,0,4,0,2,4,"primed_promoter"
"CDKN1A","protein_coding","NC_058372.1",35154969,35163741,"+",35154964,35156923,1960,1,1,1,1,1,2,0,"active_promoter"
"RAB44","protein_coding","NC_058372.1",35171980,35206056,"+",35156923,35196630,39708,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC101093019","protein_coding","NC_058372.1",35210488,35211546,"+",35196630,35231947,35318,0,0,0,1,0,2,1,"distal_enhancer_only"
"CPNE5","protein_coding","NC_058372.1",35214018,35309499,"-",35296344,35309667,13324,1,1,0,0,1,2,0,"primed_promoter"
"LOC123385352","lncRNA","NC_058372.1",35312751,35319567,"-",35309667,35320120,10454,0,1,0,0,1,2,0,"no_active_mark"
"PPIL1","protein_coding","NC_058372.1",35323564,35342979,"-",35342674,35348946,6273,1,2,1,2,1,2,1,"active_promoter"
"CB2H6orf89","protein_coding","NC_058372.1",35349209,35394313,"+",35348946,35350223,1278,2,2,2,2,2,2,0,"active_promoter"
"LOC111560460","lncRNA","NC_058372.1",35361748,35384724,"-",35364187,35414531,50345,0,0,0,4,0,2,4,"distal_enhancer_only"
"LOC102902462","lncRNA","NC_058372.1",35408183,35409615,"+",35364187,35414531,50345,0,0,0,4,0,2,4,"distal_enhancer_only"
"PI16","protein_coding","NC_058372.1",35420554,35430509,"+",35414531,35448465,33935,0,0,0,2,0,2,2,"distal_enhancer_only"
"MTCH1","protein_coding","NC_058372.1",35435911,35455432,"-",35448465,35455528,7064,1,1,1,3,1,2,2,"active_promoter"
"FGD2","protein_coding","NC_058372.1",35472356,35503211,"+",35465847,35487753,21907,0,0,0,1,0,2,1,"distal_enhancer_only"
"LOC109499651","lncRNA","NC_058372.1",35541847,35560010,"-",35559781,35561019,1239,1,1,1,1,2,2,0,"active_promoter"
"LOC109499652","lncRNA","NC_058372.1",35577067,35586104,"-",35561019,35613662,52644,1,4,1,11,0,2,10,"active_promoter"
"PIM1","protein_coding","NC_058372.1",35613805,35618063,"+",35613662,35614954,1293,1,1,1,1,1,2,0,"active_promoter"
"LOC101094020","protein_coding","NC_058372.1",35664725,35691449,"-",35644920,35691631,46712,1,1,1,1,1,2,0,"active_promoter"
"TBC1D22B","protein_coding","NC_058372.1",35691521,35772142,"+",35644920,35691631,46712,1,1,1,1,1,2,0,"active_promoter"
"LOC109499653","lncRNA","NC_058372.1",35773024,35788980,"-",35764205,35789204,25000,1,1,1,2,2,2,1,"active_promoter"
"RNF8","protein_coding","NC_058372.1",35789112,35822213,"+",35764205,35789204,25000,1,1,1,2,1,2,1,"active_promoter"
"CMTR1","protein_coding","NC_058372.1",35866813,35916620,"+",35824540,35866881,42342,1,1,1,2,2,2,1,"active_promoter"
"CCDC167","protein_coding","NC_058372.1",35913454,35934276,"-",35934231,35965790,31560,1,2,1,2,1,2,1,"active_promoter"
"LOC123385694","lncRNA","NC_058372.1",35995921,35999907,"+",35995882,36061034,65153,1,1,1,4,1,2,3,"active_promoter"
"MDGA1","protein_coding","NC_058372.1",36061053,36122190,"-",36122174,36124039,1866,1,1,1,1,2,2,0,"active_promoter"
"LOC123385353","lncRNA","NC_058372.1",36156193,36163528,"+",36130404,36205212,74809,0,2,0,4,0,2,4,"distal_enhancer_only"
"ZFAND3","protein_coding","NC_058372.1",36229764,36554045,"+",36229236,36229870,635,1,1,1,1,2,2,0,"active_promoter"
"LOC123385354","lncRNA","NC_058372.1",36540986,36545760,"+",36531387,36584106,52720,0,0,0,10,0,2,10,"distal_enhancer_only"
"BTBD9","protein_coding","NC_058372.1",36574947,36988954,"-",36988769,36989332,564,1,1,1,1,2,2,0,"active_promoter"
"LOC109499656","lncRNA","NC_058372.1",36606405,36619765,"+",36597367,36856405,259039,0,0,1,17,0,1,16,"distal_enhancer_only"
"GLO1","protein_coding","NC_058372.1",37009502,37046586,"-",37046457,37054668,8212,1,2,2,3,1,2,1,"active_promoter"
"DNAH8","protein_coding","NC_058372.1",37054587,37384737,"+",37046457,37054668,8212,1,2,1,3,1,2,2,"active_promoter"
"LOC109499657","lncRNA","NC_058372.1",37204349,37211234,"-",37054668,37218930,164263,0,1,0,1,0,2,1,"distal_enhancer_only"
"GLP1R","protein_coding","NC_058372.1",37405284,37440578,"+",37383752,37452324,68573,1,1,0,0,0,2,0,"primed_promoter"
"SAYSD1","protein_coding","NC_058372.1",37448326,37462518,"-",37462507,37499025,36519,1,1,1,1,1,2,0,"active_promoter"
"KCNK5","protein_coding","NC_058372.1",37526800,37564789,"-",37561534,37564926,3393,0,0,1,1,1,2,0,"no_active_mark"
"KCNK17","protein_coding","NC_058372.1",37617876,37632509,"-",37627629,37648730,21102,1,1,0,2,0,2,2,"primed_promoter"
"KCNK16","protein_coding","NC_058372.1",37632535,37640717,"-",37627629,37648730,21102,0,1,0,2,0,2,2,"distal_enhancer_only"
